BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,SUBLOCALITY,LATITUDE,LONGITUDE,PRICE_PER_BED,PRICE_PER_PROPERTYSQFT
"Brokered by Century 21 Amiable Realty Group II, Inc.",Multi-family home for sale,1199000,6,5.0,2184.207862,Queens County,40.6662035,-73.8525027,199833.33333333334,548.9404286376476
Brokered by Corcoran Chelsea/Flatiron,For sale,325000,2,1.0,2184.207862,New York,40.7989043,-73.9604812,162500.0,148.79536222455002
Brokered by Coldwell Banker American Homes,Multi-family home for sale,599000,4,3.0,1176.0,New York,40.638069,-74.1627747,149750.0,509.3537414965986
Brokered by New York Realty Minimax,Multi-family home for sale,1230000,4,3.0,2184.207862,Queens County,40.700194,-73.8907488,307500.0,563.1332170344508
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op for sale,3950000,3,3.0,2184.207862,New York,40.7573949,-73.9606545,1316666.6666666667,1808.4359408829926
Brokered by ANNE LOPA REAL ESTATE,House for sale,2147483647,7,6.0,10000.0,Richmond County,40.5184841,-74.2244185,306783378.14285713,214748.3647
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,1350000,10,5.0,3383.0,Kings County,40.6828535,-73.8769965,135000.0,399.0540939994088
Brokered by OneSpace Realty Group LLC,House for sale,799000,5,3.0,1800.0,Kings County,40.6336127,-73.9276041,159800.0,443.8888888888889
Brokered by Keller Williams Realty Greater Nassau,House for sale,1599000,5,3.0,5600.0,Richmond County,40.5813757,-74.1131912,319800.0,285.5357142857143
"Brokered by Robert DeFalco Realty, Inc.",House for sale,1299900,4,4.0,2755.0,Richmond County,40.5065922,-74.2393503,324975.0,471.83303085299457
Brokered by Corcoran Brooklyn Heights,Co-op for sale,370000,1,1.0,2184.207862,Brooklyn,40.6939582,-73.9943695,370000.0,169.3977969941031
Brokered by Living NY - Main Office,For sale,3225,3,1.0,2184.207862,New York,40.8434062,-73.9407947,1075.0,1.476507825151304
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,3649000,3,2.0,2184.207862,New York,40.7464683,-73.9872992,1216333.3333333333,1670.6285438688708
"Brokered by Empire City Properties, LLC",Multi-family home for sale,860000,5,3.0,2324.0,Kings County,40.5768936,-74.0048793,172000.0,370.05163511187607
Brokered by Re/Max Edge,House for sale,765000,3,4.0,2205.0,Richmond County,40.611142,-74.0905357,255000.0,346.9387755102041
Brokered by Douglas Elliman - 187 Seventh Ave,Co-op for sale,259000,1,1.0,750.0,Brooklyn,40.6491203,-73.9440658,259000.0,345.3333333333333
Brokered by The Turner Realty Group Inc,Multi-family home for sale,1500000,8,3.0,3135.0,Kings County,40.6471477,-73.9489423,187500.0,478.4688995215311
Brokered by Brown Harris Stevens,Condo for sale,850000,2,2.0,1005.0,New York,40.856444,-73.9377616,425000.0,845.7711442786069
Brokered by Living NY - Main Office,For sale,2494,2,1.0,2184.207862,New York,40.8434062,-73.9407947,1247.0,1.1418327181170085
Brokered by 5 Boro Realty Corp,Condo for sale,99000,1,1.0,2184.207862,Brooklyn,40.6372545,-73.9002674,99000.0,45.32535649301678
Brokered by Douglas Elliman - 1410 Cortelyou Rd,Co-op for sale,535000,1,1.0,750.0,Brooklyn,40.6453011,-73.9723049,535000.0,713.3333333333334
Brokered by Coldwell Banker Advantage,Multi-family home for sale,849998,4,2.0,2342.0,Richmond County,40.5487767,-74.1629254,212499.5,362.93680614859096
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,For sale,1100000,2,2.0,2184.207862,New York,40.807426,-73.9535703,550000.0,503.61507214463086
